id,car_model,car_year,car_vin,color,price
388,9-2X,2005,JN8AS5MT6BW582786,Yellow,"€10700,19"
389,Ram 1500,1996,19UUA65516A872357,Puce,"€33282,34"
390,I,1997,SCFAD01A36G819151,Teal,"€39202,84"
391,Sunfire,1995,WBAEV33482P074183,Crimson,"€13683,31"
392,Z8,2003,19UUA9F29AA985374,Indigo,"€28935,13"
393,DeVille,1996,WAULFAFR0BA348253,Red,"€37292,02"
394,Trans Sport,1995,3GYFK66N85G348300,Mauv,"€18647,01"
395,525,2004,5N1AN0NW3EN269926,Turquoise,"€22376,94"
396,Mustang,2012,WAUMFAFL6AA850392,Teal,"€24555,22"
397,Tracker,2000,2B3CK4CV7AH416261,Puce,"€28551,29"
398,Ram 1500,2000,WAUFFAFM5CA488138,Blue,"€21260,87"
399,599 GTB Fiorano,2008,WAUFEAFM6CA915538,Teal,"€22227,04"
400,Quest,2006,WAUFGAFCXEN189826,Mauv,"€32068,31"
401,CL-Class,2009,5N1AT2MK3EC177310,Aquamarine,"€16293,86"
402,CLS-Class,2010,WAUXU54B63N056279,Orange,"€30092,31"
403,Continental Mark VII,1990,JN1CV6EK2CM322182,Red,"€20971,92"
404,Viper,2005,2HNYB1H28AH252465,Fuscia,"€20808,06"
405,B-Series Plus,1996,1FT7W2A6XEE766899,Red,"€11048,84"
406,Cabriolet,1997,WBSBL93496P191848,Aquamarine,"€35505,09"
407,Dakota,1996,1G6KD57Y19U981311,Mauv,"€20393,88"
408,Range Rover,2007,5J6TF1H51DL134046,Violet,"€11698,77"
409,240SX,1994,2LMDJ6JK1FB032349,Fuscia,"€38498,97"
410,C-Class,2000,3D7TT2HT2AG793884,Turquoise,"€37446,44"
411,Silverado 1500,2007,WAUDL94F45N139986,Teal,"€12422,04"
412,F-Series,1996,WA1VGAFP7FA234208,Puce,"€24618,64"
413,Elantra,2008,2B3CM5CTXBH076913,Purple,"€34819,90"
414,745,2002,3C4PDCEG7CT086960,Turquoise,"€14157,58"
415,Acadia,2007,KMHCT4AE7FU798838,Aquamarine,"€26866,40"
416,Escort,1986,1G4GC5EG7AF697069,Red,"€34112,61"
417,Town Car,2004,WAUEH74F38N611982,Puce,"€36468,61"
418,Savana 3500,2011,1G4PR5SK7D4173797,Blue,"€16203,75"
419,Vision,1996,KNDMB5C10F6893113,Green,"€15544,27"
420,G-Class,2005,WBAPL33559A208846,Yellow,"€15246,44"
421,RX-8,2008,3LN6L2G9XFR497967,Aquamarine,"€11227,80"
422,6 Series,2005,1G6AM5SX5E0635645,Indigo,"€16761,79"
423,300E,1993,WAUSH94F77N285911,Pink,"€24790,51"
424,Aviator,2005,1GT020CGXEF327903,Maroon,"€29810,03"
425,Viper,2000,WA1CM94LX9D093958,Puce,"€39676,57"
426,xB,2005,WDDLJ7DB9CA529398,Violet,"€16836,04"
427,Ram Van B150,1992,WP0AB2A88CU628707,Teal,"€33354,47"
428,Firefly,1989,JN8AE2KP9C9049956,Red,"€21496,49"
429,Sonata,2010,3D7TT2CT2AG247187,Orange,"€10765,72"
430,Stealth,1996,WAUDFAFC1DN954656,Turquoise,"€25599,27"
431,Prizm,2002,WDDPK4HA8FF414958,Khaki,"€30609,67"
432,MX-5,2009,2HKRM3H31FH359526,Fuscia,"€13442,56"
433,Elise,2008,WA1WKAFP7BA425477,Purple,"€24519,92"
434,Cougar,1991,WBAPN7C55BF144219,Purple,"€32346,04"
435,S60,2004,WBA1F5C58FV572143,Red,"€31674,57"
436,Touareg,2009,1GKUCEEF8AR791916,Green,"€18920,21"
437,L-Series,2003,1FTEW1E83AK869378,Green,"€37925,41"
438,Boxster,1998,1GYS4DEF9DR030353,Turquoise,"€16610,85"
439,Sentra,2007,1N6BF0KXXFN257905,Pink,"€23385,79"
440,B-Series,1993,WBA1K5C59FV004611,Green,"€34665,34"
441,4Runner,2003,1GYEK63N16R265387,Blue,"€28668,32"
442,Alcyone SVX,1994,JN1BJ0HPXFM297662,Yellow,"€14019,69"
443,1000,1984,1G4GD5GR6CF736507,Pink,"€22623,85"
444,Century,1998,JHMFA3F22BS757067,Mauv,"€25890,37"
445,Chariot,1990,WAUMFAFR8FA074021,Orange,"€27740,64"
446,Mustang,1969,JTDKDTB3XF1781991,Khaki,"€16411,12"
447,GT500,1968,5UXFB33543L066498,Blue,"€20998,71"
448,RX-7,1983,3N1AB7AP5FL795323,Maroon,"€33406,27"
449,MX-3,1995,WAULT68E53A997533,Blue,"€36525,02"
450,RS 6,2003,WDDPK4HA5FF836735,Orange,"€16196,80"
451,Grand Marquis,2000,WBADT53411C829886,Blue,"€10676,14"
452,Viper,1996,5FRYD3H49FB631807,Indigo,"€32600,70"
453,Cayenne,2006,3C63D3GL7CG658263,Purple,"€30990,27"
454,Fleetwood,1954,WAUKD98P09A606650,Purple,"€32321,49"
455,XC90,2009,1G6AV5S85F0289667,Teal,"€20570,50"
456,A6,2007,3D73Y4CL9AG303137,Purple,"€31787,48"
457,Taurus,1994,1G6DG5E54D0907602,Turquoise,"€22388,89"
458,Viper,2003,SCBCU7ZA4BC754321,Puce,"€23355,36"
459,D350 Club,1993,KNAFU5A22B5487202,Pink,"€26686,70"
460,B-Series Plus,1992,WDDPK4HA4CF283751,Turquoise,"€16426,98"
461,Outlander,2006,JN1CV6EK8BM560214,Crimson,"€14741,80"
462,X5,2006,3GYFNJE3XDS212711,Purple,"€31461,63"
463,Crown Victoria,2006,1G6DV1EP3B0785697,Fuscia,"€10969,06"
464,Liberty,2008,WVGAV7AXXBW334607,Crimson,"€14725,87"
465,Justy,1991,5FRYD4H43EB962998,Green,"€15404,73"
466,Skyhawk,1985,WAUUL98E98A894421,Red,"€11651,67"
467,Topaz,1984,WAUHFAFL5EA160592,Fuscia,"€34055,38"
468,Esprit,2001,SCFEBBEL9DG560113,Khaki,"€26755,72"
469,350Z,2007,JTEBU5JR0F5418136,Aquamarine,"€29633,70"
470,Festiva,1993,TRUDD38J581840484,Fuscia,"€24618,22"
471,Vega,1971,5N1AN0NU5BC948280,Orange,"€14535,62"
472,GTO,1968,WAUUL68E15A946750,Khaki,"€13069,07"
473,RX-7,1983,JTDKN3DU2A0173125,Blue,"€25496,89"
474,Seville,1993,1G6DP5E38D0047377,Green,"€14403,99"
475,57,2007,2HNYD18203H333604,Maroon,"€13803,93"
476,Century,2004,2G4GX5GV6B9741749,Yellow,"€16741,28"
477,F150,1994,WDDEJ7EB5DA200027,Orange,"€23438,11"
478,Legacy,1999,19UUA65645A676520,Pink,"€16915,40"
479,MX-6,1992,5GADV33157D181643,Maroon,"€34378,93"
480,Boxster,2003,WA1LYAFE7AD510655,Crimson,"€34611,21"
481,Viper,1998,3VW467AT4CM388611,Violet,"€27990,69"
482,Cordia,1985,1C3CDFBB8ED012971,Teal,"€24410,38"
483,Blackwood,2002,1G4HD57266U046117,Khaki,"€25919,10"
484,Mazda3,2008,1GD312CGXDF012962,Yellow,"€31746,74"
485,Cavalier,2003,JTEBU5JR7F5892102,Teal,"€39213,43"
486,Phantom,2008,2G4WB55K421482471,Goldenrod,"€16249,29"
487,900,1997,3D4PG6FV6AT163601,Puce,"€17169,36"
488,Safari,1987,3D7JV1EP4AG612044,Purple,"€39208,29"
489,S-Class,2004,4F2CY0C73AK242785,Goldenrod,"€30420,10"
490,MKT,2013,2LMDJ6JKXCB952931,Puce,"€16958,90"
491,GTO,1965,WVGAV3AX4EW000814,Yellow,"€13475,54"
492,Express 2500,2002,3D7JV1EP1AG943891,Orange,"€27641,51"
493,Montero,2002,1FMEU8FE5AU938025,Puce,"€12162,64"
494,Ram Wagon B250,1992,1G4HE57Y88U314380,Fuscia,"€38121,42"
495,Torrent,2008,1G6KS54Y61U481532,Orange,"€23987,95"
496,Lanos,1999,3G5DA03E04S797202,Khaki,"€19217,83"
497,S40,2000,WVGAV7AX9AW700216,Goldenrod,"€16790,41"
498,Club Wagon,1997,1GYEC63N86R145888,Blue,"€25052,88"
499,Wrangler,1997,WBY2Z2C58EV428442,Green,"€24074,43"
500,G-Series G30,1995,KMHGH4JH5DU226175,Maroon,"€30614,73"
501,F430,2008,JM1CW2BL0C0350912,Mauv,"€19569,40"
502,Astro,2005,5YMGZ0C54D0623520,Maroon,"€39440,82"
503,DeVille,1994,3VWML7AJ3CM030844,Crimson,"€32015,72"
504,300M,2000,SCBBR9ZA9DC902846,Turquoise,"€20310,75"
505,62,2007,19UYA41623A049047,Maroon,"€38713,12"
506,Esprit,1993,WBA3N5C52EF381872,Green,"€17716,87"
507,LS,2002,WAUMFAFLXBN982842,Fuscia,"€33757,72"
508,LS,2012,3GYT4MEF7CG293198,Fuscia,"€30187,72"
509,Torrent,2007,3GYFK66N43G920699,Fuscia,"€36746,60"
510,GTO,1970,4T1BK3DB6CU699613,Pink,"€37929,33"
511,Routan,2012,WA1DKAFP0CA849205,Goldenrod,"€15326,12"
512,Range Rover Sport,2010,3VW4T7AT8EM940574,Puce,"€27164,87"
513,626,1987,3D73M3HL4BG939786,Violet,"€19952,50"
514,GTI,1999,WAUJC58E63A745842,Blue,"€31631,69"
515,B-Series,1996,5UXFG8C53BL772732,Blue,"€29055,59"
516,Prizm,1998,JTEBW3EH1A2853287,Pink,"€29401,04"
517,Caliber,2007,KMHEC4A43BA009161,Khaki,"€24330,87"
518,Continental Flying Spur,2012,WBAAZ33404K046123,Aquamarine,"€21092,01"
519,Azure,2010,ML32A3HJ8EH695313,Purple,"€22629,71"
520,Avalanche,2011,WBANE53517B460047,Khaki,"€16373,38"
521,A8,2010,3TMJU4GN8CM066217,Orange,"€39259,82"
522,Corvette,1964,WBAFZ9C54CC341719,Aquamarine,"€26589,66"
523,Genesis,2009,1G6AH5SXXD0499435,Pink,"€21378,81"
524,Cutlass,1998,WBA5M0C58ED087175,Violet,"€20409,40"
525,Vandura 1500,1992,2T1BU4EE8DC552401,Violet,"€36502,16"
526,62,2012,WBAYP5C53ED401851,Mauv,"€12045,17"
527,Sienna,2011,SCBLF44J19C527582,Orange,"€12142,03"
528,Murciélago,2006,JTHBW1GG1E1217752,Fuscia,"€31126,62"
529,Ram Van B250,1993,2G4GW5EV8B9565082,Red,"€30234,76"
530,Terraza,2006,5UXWX9C54DL570507,Goldenrod,"€15753,21"
531,Liberty,2003,1FTFW1E87AF581585,Orange,"€35881,31"
532,Voyager,1985,3GYFNDE33DS098567,Red,"€10907,18"
533,Town Car,2006,JTJYWRBZ1F2657062,Fuscia,"€21654,53"
534,E150,2011,1GKS1AKC3FR808323,Crimson,"€15175,85"
535,FF,2012,WA1CMAFE5DD179199,Teal,"€31522,93"
536,Boxster,2000,SCBZK22E21C952264,Turquoise,"€20314,02"
537,Lightning,1994,WA1DGAFE5BD842618,Teal,"€30503,42"
538,Concorde,1999,JN1CV6FEXFM297206,Purple,"€12164,03"
539,F450,2010,1D7RV1CT5AS619855,Blue,"€27607,33"
540,S80,1999,1D7RV1GP5BS028343,Aquamarine,"€20709,87"
541,SL-Class,1986,5FRYD4H47EB644091,Mauv,"€16517,65"
542,DBS,2009,1N6AA0CC6DN978533,Fuscia,"€12288,24"
543,Impala,2004,3VW8S7AT7FM390709,Mauv,"€10194,30"
544,Altima,2011,WUARL48HX8K599220,Goldenrod,"€35536,63"
545,Mystique,1998,2C3CCADT6CH205812,Yellow,"€36709,56"
546,DBS,2011,WBAEA53538C719046,Indigo,"€33046,43"
547,Odyssey,1998,TRUSX28NX21384033,Turquoise,"€25291,50"
548,Mountaineer,2007,WA1DGAFP3EA716538,Purple,"€20606,92"
549,Veloster,2013,WUAW2BFC7EN481895,Green,"€26642,83"
550,Sonoma,2004,1G4HP54K35U281942,Purple,"€37082,94"
551,3000GT,1996,3N1CN7AP0FL219168,Yellow,"€20699,76"
552,626,1997,WAUSH78E56A074962,Pink,"€12797,40"
553,Ram Wagon B150,1992,JH4CL96864C223300,Aquamarine,"€12037,08"
554,Navigator,2010,JN1AZ4EH1EM894996,Goldenrod,"€12942,36"
555,Ram,2010,3VWC17AU9FM295686,Red,"€15357,89"
556,Impulse,1992,WAUNF78P96A010928,Green,"€20004,97"
557,Civic,1990,JTHBB1BAXA2320560,Green,"€17112,79"
558,Grand Marquis,2011,1FTKR1AD0AP240659,Green,"€20688,83"
559,F250,2009,1N6AA0CH9FN659352,Fuscia,"€25132,96"
560,9-3,2011,KM8JT3AC4AU918457,Red,"€37972,68"
561,D150 Club,1993,1FT7W2A69EE143452,Aquamarine,"€38318,50"
562,Intrepid,1999,SCBFT7ZA8DC305999,Puce,"€16361,78"
563,Rally Wagon 1500,1993,5GAKVAKD2EJ966126,Pink,"€31791,14"
564,LaCrosse,2012,19UUA9F71EA561186,Crimson,"€19724,77"
565,Sonata,2005,JN1AZ4EH5DM125805,Teal,"€17497,02"
566,XLR-V,2009,JH4DC53834S139071,Maroon,"€35567,98"
567,Tracer,1992,WAUEFBFL6BN185403,Goldenrod,"€16946,61"
568,Sonata,1994,WBANB335X4B654066,Teal,"€20619,17"
569,Patriot,2010,WAUGL78E57A769805,Pink,"€39688,85"
570,GTO,1996,JM1DE1HY9B0870335,Violet,"€15770,62"
571,Vitara,2004,2G4WC532051038735,Violet,"€30975,58"
572,Sierra 1500,2008,JH4KA96591C065246,Yellow,"€16369,83"
573,F350,1995,KMHFC4DF9AA666580,Red,"€23074,92"
574,Caravan,1985,3C3CFFBR9DT047468,Fuscia,"€34643,29"
575,Accord,1986,1N6AA0CJ5DN115494,Fuscia,"€12912,20"
576,Sonoma Club Coupe,1996,1GYUCBEF0AR085365,Yellow,"€22195,63"
577,SL-Class,2009,1D4PT5GK3BW971006,Aquamarine,"€11264,56"
578,Ranger,2005,1N6AD0CW1EN346140,Mauv,"€21380,09"
579,Traverse,2011,1G4GB5GR9CF623060,Goldenrod,"€22992,07"
580,Neon,2002,SCFEBBAC1AG973354,Fuscia,"€24079,50"
581,Precis,1993,1FTFW1E85AF519425,Aquamarine,"€32928,18"
582,D250,1993,19UUA75697A004011,Blue,"€26401,47"
583,Expedition,2004,2B3CA3CV8AH041400,Crimson,"€29485,39"
584,LS,2003,2T1BU4EE0DC752589,Purple,"€33080,17"
585,Escort ZX2,2003,JN1CV6FE5EM734012,Orange,"€16410,47"
586,Discovery Series II,2001,2T1BURHE9EC259780,Khaki,"€39908,61"
587,Alcyone SVX,1994,1G6DL1ED5B0182293,Violet,"€10827,02"
588,MX-5,2005,1GYFK33219R068412,Khaki,"€11844,03"
589,Celica,1999,WUADU78E68N187941,Aquamarine,"€14216,91"
590,B-Series,1993,WVWAA7AJ1CW567451,Puce,"€34178,81"
591,Contour,1995,SALAB2D44DA252110,Yellow,"€21761,66"
592,Sentra,1991,JH4KA96592C625946,Mauv,"€35999,92"
593,Continental Mark VII,1986,WBAGN83453D293174,Pink,"€36919,06"
594,Wrangler,1994,5GADV33W17D006480,Violet,"€15323,14"
595,LS,2007,JM1NC2PF5F0058441,Indigo,"€26000,09"
596,Escalade,2009,1G6AH5R38F0400875,Red,"€13948,67"
597,900,1997,5N1AA0NE7EN786780,Fuscia,"€12175,27"
598,Fiero,1985,SAJWA4GC0EM118369,Green,"€25285,55"
599,SX4,2012,WAU3FAFR6CA007344,Green,"€32141,72"
600,ZDX,2010,WBAFR7C50CC249706,Green,"€21995,97"
601,V40,2002,2HNYD18665H589350,Pink,"€23507,30"
602,M,2008,4T1BF3EK5BU665504,Mauv,"€36602,45"
603,Panamera,2013,WA1WGBFP4EA362768,Purple,"€21548,36"
604,Cavalier,2002,3C3CFFBR3CT679011,Red,"€19506,41"
605,Clubman,2012,WBAPM5G55BN411303,Maroon,"€21311,01"
606,SL-Class,1992,WAULFAFR0EA769880,Purple,"€10891,72"
607,Yukon XL 1500,2012,WAUFMBFC3EN210482,Red,"€38658,21"
608,SRX,2004,1FM5K7B89EG541552,Mauv,"€36380,75"
609,Swift,1993,5XXGM4A72FG462752,Mauv,"€19616,73"
610,Millenia,2002,WAULD64B03N152381,Puce,"€17083,66"
611,Corvette,2000,3VWML7AJ6BM302737,Indigo,"€30610,56"
612,Wrangler,2011,1GYS4AKJ1FR763121,Purple,"€34581,79"
613,Venture,2003,WDDEJ7EB2DA754481,Indigo,"€31366,88"
614,R8,2010,WBAPM5C53BE445097,Maroon,"€29732,25"
615,Scoupe,1992,5FRYD4H63GB493853,Purple,"€17649,45"
616,Golf,1988,JN1BJ0HR0EM431367,Pink,"€36254,71"
617,Monaco,1992,3N1BC1AP7AL753436,Blue,"€11267,46"
618,GLC,1984,JTEBU5JR6B5221322,Aquamarine,"€12020,68"
619,Taurus,1997,WBA3V5C57F5367585,Purple,"€25340,16"
620,XJ Series,1999,2B3CK8CT0AH963409,Pink,"€36996,87"
621,M-Class,2008,2C3CDXCT7FH662540,Fuscia,"€33628,16"
622,Golf,1988,JM3TB2BA9D0028031,Turquoise,"€12279,78"
623,4Runner,2001,1G4GE5GD8BF265833,Yellow,"€33055,70"
624,Intrepid,2001,WVGAV7AX1CW654321,Maroon,"€24674,68"
625,Outlander Sport,2011,WBAEP33423P945185,Blue,"€21621,41"
626,Chariot,1989,WAUJGAFD9FN333757,Orange,"€25968,98"
627,Monte Carlo,1973,WA1CFAFP6FA097269,Aquamarine,"€32482,24"
628,Vigor,1992,2T1BURHE1EC474151,Maroon,"€11715,83"
629,928,1990,WAU3FAFR8BA440789,Blue,"€17417,85"
630,Protege,1999,JTHBB1BAXA2655513,Maroon,"€24914,66"
631,57,2010,1G6DL67A890909503,Orange,"€36303,69"
632,ES,2002,1D7RW2GK8AS917370,Khaki,"€37876,66"
633,Bonneville,1995,1G4HA5EM1AU169877,Khaki,"€12422,80"
634,Vision,1997,WBAUN7C56DV177533,Purple,"€34978,38"
635,300ZX,1992,1G6DJ1ED9B0148976,Maroon,"€29302,78"
636,Esteem,2001,JTHBK1EG5C2206288,Red,"€31924,56"
637,TrailBlazer,2007,WAUKH98EX6A462961,Red,"€10190,06"
638,Esteem,1998,WBAVB73557F111521,Khaki,"€33758,15"
639,Element,2005,WP0CA2A88FK083717,Indigo,"€11647,54"
640,Skyhawk,1985,JTDKDTB3XE1316965,Aquamarine,"€17298,56"
641,Rogue,2010,WDDEJ7KBXDA075241,Puce,"€11566,50"
642,Silverado 3500,2012,JN1BJ0HR9EM604402,Mauv,"€24798,12"
643,Verona,2006,1G6AH5SX1D0490204,Yellow,"€25056,63"
644,RSX,2003,19XFA1E3XAE453907,Purple,"€11066,12"
645,Voyager,2001,WAUGN74F27N314136,Pink,"€13539,93"
646,Esteem,1997,1G6YV36A875777032,Yellow,"€34544,83"
647,Savana 2500,1997,19UUA86279A047136,Aquamarine,"€13544,66"
648,Tempo,1986,WBAYE8C50FD832074,Turquoise,"€21672,86"
649,Grand Caravan,2007,3VW517AT6FM158852,Blue,"€24428,79"
650,SL-Class,1987,5GADS13S572526445,Red,"€19318,65"
651,Murciélago,2002,WUADUAFG6EN993484,Puce,"€12815,98"
652,DBS,2009,5YMGY0C58DL504208,Blue,"€14520,83"
653,Cherokee,1996,4T1BD1EB7FU550130,Goldenrod,"€37902,27"
654,MKX,2010,3C4PDCGB4FT781628,Purple,"€27018,15"
655,Grand Am,1998,KNADH4A31A6308784,Pink,"€15305,14"
656,Avalon,2003,WBAEJ134X1A230239,Red,"€11085,20"
657,Daytona,1993,5TFBW5F12CX644423,Puce,"€13838,09"
658,EXP,1984,JTJBARBZ8F2786291,Indigo,"€32800,02"
659,Econoline E350,2001,KNDJT2A27D7608358,Indigo,"€16883,96"
660,Grand Cherokee,2004,WAUVC68E23A380146,Indigo,"€12304,46"
661,GS,1994,WBADS33491G366685,Maroon,"€18743,82"
662,57,2006,1FT7W2A66EE186954,Fuscia,"€39786,64"
663,Yaris,2008,4T1BB3EKXAU033284,Indigo,"€38296,45"
664,200SX,1997,WBAYE8C5XED648923,Orange,"€32018,55"
665,Justy,1994,5N1BA0NC2FN318475,Crimson,"€39102,82"
666,del Sol,1997,1G6KE54Y01U716689,Teal,"€27228,89"
667,Neon,2004,JN8AF5MV2FT877199,Crimson,"€25428,53"
668,Clubman,2010,3GYT4MEF2BG103015,Violet,"€20913,66"
669,Sable,1996,KMHFG4JG2EA698553,Teal,"€34817,18"
670,XLR,2007,1G6AD5SX1D0984249,Indigo,"€39771,96"
671,F-Series,2007,1G4GG5E37DF569727,Turquoise,"€28406,36"
672,XK,2009,1C3CC5FB8AN311257,Goldenrod,"€25536,57"
673,Camry Hybrid,2011,3VW467AT4DM543918,Yellow,"€21136,51"
674,E150,2010,JN8AZ2KR3AT067200,Khaki,"€36207,58"
675,Camry Hybrid,2007,WAUWFAFHXEN377146,Khaki,"€21479,62"
676,Xtra,1992,4T1BD1FK2DU995161,Violet,"€37565,88"
677,Safari,1994,1N6AD0CU9AC078524,Violet,"€18762,32"
678,Express 3500,1999,1C6RD7HT0CS930953,Violet,"€37138,16"
679,M-Class,1998,WBAVM5C57FV745125,Yellow,"€17597,74"
680,SLX,1998,WAUAF98E06A020465,Teal,"€27445,66"
681,Corvette,1995,WAUDV74F67N484549,Green,"€32752,31"
682,Sprinter 2500,2011,3N1BC1AP0AL665179,Aquamarine,"€27679,30"
683,Crown Victoria,1998,WBA3D3C52FK314902,Blue,"€20331,72"
684,Grand Caravan,2001,WBA3B9C58DJ865444,Pink,"€22157,93"
685,Seville,1999,1N4AB7AP1DN694523,Yellow,"€13153,55"
686,E-Series,1987,SCBLE37G26C551074,Maroon,"€19593,75"
687,Expedition,2010,WAUEFAFL7DA961980,Yellow,"€26110,76"
688,R-Class,2012,3D73Y4EL9AG562952,Teal,"€29564,11"
689,Cooper,2006,1G6AR5SX0F0699871,Fuscia,"€35214,02"
690,Optima,2001,2C3CCAAG2CH359702,Aquamarine,"€16232,46"
691,Freestyle,2007,1GD11ZCG1CF599986,Indigo,"€34400,00"
692,Envoy,2007,JTEBU5JR1B5881431,Orange,"€37510,36"
693,Stylus,1993,19XFB4F28EE624650,Yellow,"€37891,83"
694,Civic,2002,3D73Y4EL9BG928457,Crimson,"€25367,36"
695,Express 3500,1999,JM3TB2CV3F0275324,Puce,"€17016,18"
696,MKX,2010,1FTSW3A53AE147112,Green,"€26591,19"
697,Integra,1999,WP0CA2A86FK085837,Maroon,"€32505,60"
698,S10,2002,2C3CDZAT7FH216127,Khaki,"€23959,55"
699,Yaris,2008,3D73Y4EL9BG277041,Teal,"€19766,02"
700,Sonoma,2001,WAUPFAFM8CA637243,Red,"€39266,75"
701,DBS,2008,3N1CN7AP3FL994743,Blue,"€32539,15"
702,Corvette,2003,SCFAB05D79G021847,Khaki,"€20139,64"
703,SX4,2008,2C4RDGBG0ER933280,Puce,"€20560,86"
704,Corvette,1989,WVGAV3AX8EW600865,Khaki,"€35094,58"
705,RSX,2004,1FTEW1CW5AF442827,Fuscia,"€36033,79"
706,Town Car,2007,WBA6B8C51FD290239,Yellow,"€30080,72"
707,Thunderbird,1977,WA1AY74LX7D843548,Khaki,"€12999,07"
708,Escape,2000,4A4AP3AU8FE375819,Blue,"€36931,26"
709,Suburban 2500,1995,WBAYA6C53DD204815,Red,"€36122,64"
710,Diablo,1993,1G6AE5S33D0235530,Red,"€31989,84"
711,Jetta,1994,JN8AZ2KR0CT547746,Purple,"€13820,81"
712,Rio,2004,WBA4A7C51FD413283,Indigo,"€36000,95"
713,3500,1997,3D7JV1EP1BG599965,Purple,"€18273,47"
714,Dakota Club,1994,WBAAV33481E883580,Turquoise,"€12254,02"
715,Escalade EXT,2010,WAUKG58E25A694142,Puce,"€13815,29"
716,SLK-Class,2007,3VWML7AJ6CM951777,Violet,"€38498,47"
717,Mustang,2005,JTDZN3EU3D3992757,Puce,"€37869,77"
718,5000CS,1988,WVGDF9BP9ED777139,Crimson,"€23677,47"
719,Grand Caravan,2012,1GD312CG5DF314854,Blue,"€38659,65"
720,Continental,2010,5TDDK3DC6FS527709,Khaki,"€32595,84"
721,3500 Club Coupe,1992,WBAPM7C5XAE899485,Indigo,"€19249,89"
722,760,2003,WBSWL93529P211114,Mauv,"€11087,30"
723,Rendezvous,2003,5TDBW5G12ES219548,Goldenrod,"€39387,94"
724,M3,2006,WAUDF98E38A021383,Maroon,"€19899,93"
725,Uplander,2005,2G4GY5GV7B9150651,Green,"€13462,56"
726,Bronco II,1985,1ZVBP8JZ0D5198486,Puce,"€12408,99"
727,Passat,1998,WBABV134X5J157449,Green,"€17922,24"
728,300TE,1992,SCBLF34FX3C997106,Goldenrod,"€16426,67"
729,Ram 3500,2008,WA1LMAFE7FD842842,Violet,"€10827,31"
730,Elantra,2011,1C3BC7EG2BN979805,Green,"€22226,93"
731,Lancer,2010,1G4GJ5G31DF096325,Teal,"€38507,67"
732,4Runner,2011,1G6DL5EV7A0190264,Red,"€11063,79"
733,Tribeca,2010,1G6KF54902U253735,Mauv,"€27704,70"
734,Accord Crosstour,2010,W04GV5EV3B1911867,Purple,"€31455,90"
735,Thunderbird,1955,5N1AA0NE9FN636185,Aquamarine,"€29851,93"
736,Caprice Classic,1994,1GKS1EEF7BR426965,Red,"€22201,92"
737,Arnage,2009,1G6DL8ED0B0062121,Mauv,"€34959,96"
738,900,1996,1FTWX3D53AE775715,Red,"€27800,98"
739,XC90,2003,1N4AL2AP6BN769374,Puce,"€20218,23"
740,Astro,2003,3GTU2YEJXDG239181,Goldenrod,"€18253,78"
741,MX-5,1998,JN8AZ1MU0EW099330,Red,"€27986,07"
742,XC90,2008,3GYT4LEF1BG160820,Indigo,"€18954,53"
743,Protege,2003,4JGBF2FE1BA024922,Aquamarine,"€25855,47"
744,Envoy,1998,WA1LKBFP0AA769479,Turquoise,"€10490,11"
745,Fairlane,1966,3D73Y3CL1BG146294,Khaki,"€13915,62"
746,500,2012,1GYS3BEF9DR787521,Turquoise,"€34420,92"
747,Tacoma Xtra,2004,JN8AZ1FY9CW822914,Maroon,"€13431,56"
748,968,1994,1G4GE5G3XEF204513,Aquamarine,"€28629,86"
749,7 Series,2005,3D73Y4EL6BG747445,Blue,"€30058,33"
750,Matrix,2012,1GYS4NKJ3FR871957,Fuscia,"€16766,34"
751,RSX,2006,3VWC17AU8FM773404,Fuscia,"€13858,20"
752,Sable,1992,WAUDT74F95N360505,Yellow,"€34912,84"
753,XJ Series,1997,1GYFK66808R998754,Puce,"€29500,02"
754,Express 2500,2006,WAUTFAFH3CN516338,Red,"€19467,02"
755,Mirage,1992,1GYS4CKJ3FR271833,Khaki,"€24578,91"
756,CX-7,2008,1FBNE3BLXDD974262,Puce,"€12050,89"
757,Alpina B7,2007,3D73Y4EL3BG590604,Crimson,"€13551,60"
758,Galaxie,1966,JH4CL96864C439194,Blue,"€24676,81"
759,Montero,1999,19VDE3F33EE615221,Green,"€25920,49"
760,626,1994,WBAEK73444B719380,Violet,"€17489,27"
761,944,1983,4T1BF1FK9CU848702,Blue,"€29075,82"
762,Breeze,1996,3VWML7AJ2BM612948,Khaki,"€30492,03"
763,Aztek,2002,JHMZF1D44FS421367,Red,"€33767,39"
764,Spectra,2006,3C6JD6DT3CG574132,Purple,"€11866,96"
765,Capri,1986,SAJWA4HA6EM516876,Red,"€36386,16"
766,Avalon,1996,WBA3A5C54EP658236,Orange,"€26817,76"
767,Vitara,2001,1C6RD6MTXCS871524,Red,"€33650,37"
768,Daewoo Magnus,2005,WP1AA2A29BL996327,Red,"€33900,23"
769,Range Rover,2004,KMHFC4DDXBA608509,Yellow,"€25804,35"
770,Bronco,1993,ZHWGU5BR3EL728646,Blue,"€38095,39"
771,2500 Club Coupe,1996,2C3CDXJGXDH846910,Aquamarine,"€24194,64"
772,A8,2012,WBA3A5G57FN453002,Yellow,"€13985,87"
773,Sentra,2011,WBADT334X1G691195,Fuscia,"€29405,87"
774,Cherokee,1999,2GKALMEK5E6149438,Teal,"€36355,47"
775,3 Series,1993,2HNYD2H22AH062774,Teal,"€24923,53"
